日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/07/01,"16,849,718","724,826,902",42.75,43.2,42.7,43.1,0.35,"7,420"
109/07/02,"18,208,381","792,183,247",43.2,43.7,43,43.6,0.5,"6,053"
109/07/03,"20,191,659","886,893,826",43.8,44.05,43.8,43.95,0.35,"5,748"
109/07/06,"21,176,594","939,084,941",44,44.5,44,44.4,0.45,"8,005"
109/07/07,"19,194,610","850,838,356",44.4,44.55,44.05,44.5,0.1,"6,925"
109/07/08,"23,461,258","1,054,913,481",44.4,45.15,44.35,45.15,0.65,"8,787"
109/07/09,"21,763,786","986,948,925",45.4,45.45,45.15,45.3,0.15,"7,650"
109/07/10,"17,481,909","789,085,576",45.3,45.35,44.95,44.95,-0.35,"6,227"
109/07/13,"13,284,482","599,667,540",45,45.3,44.9,45.2,0.25,"4,475"
109/07/14,"12,095,615","547,237,928",45.1,45.4,45.05,45.3,0.1,"4,083"
109/07/15,"26,551,742","1,209,835,417",45.4,45.75,45.3,45.6,0.3,"6,106"
109/07/16,"36,668,838","1,638,986,350",45.45,45.45,44.4,44.5,-1.1,"11,916"
109/07/17,"14,423,247","647,163,369",44.85,45.1,44.65,44.8,0.3,"5,956"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
